"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2024-11-30,0.386551373954165,260.783879637293,0.519460016268496,500.602117217069,0.75,1,4
"CADPH-FluCAT_Ensemble",2024-12-07,0.424526349260999,483.677351647492,0.636826899746099,943.522197694842,0.25,1,4
"CADPH-FluCAT_Ensemble",2024-12-14,0.455122932019972,720.917122607587,0.699024690491956,1366.52323008287,0,1,4
"CADPH-FluCAT_Ensemble",2024-12-21,0.445068973160573,740.186306592598,0.64180262516628,1291.68617075548,0.25,1,4
"CADPH-FluCAT_Ensemble",2024-12-28,0.524165010732961,671.698063528927,0.450484261465751,728.239032905458,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-01-04,0.54517814157951,452.966946896753,0.730185286481703,807.21136576909,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-01-11,1.05898738809169,807.162972560796,1.58456018840528,1450.12583908387,0,1,4
"CADPH-FluCAT_Ensemble",2025-01-18,1.25725844630106,1523.08771579628,1.4221396599733,2211.55192253561,0,0.25,4
"CADPH-FluCAT_Ensemble",2025-02-01,1.15432119064351,601.944062352454,1.31411144287429,893.3823967321,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-02-08,1.01378970928089,558.958576834365,1.18937475544376,810.234168160333,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-02-15,0.498012967526836,323.023007077013,0.469238128605099,409.38268790215,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-02-22,0.616375126800191,348.524873584679,0.798529808862769,573.685719829877,0.25,1,4
"CADPH-FluCAT_Ensemble",2025-03-01,0.3311962140431,139.756679226685,0.266650552805255,128.719668079928,1,1,4
"CADPH-FluCAT_Ensemble",2025-03-08,0.272057461860007,90.2845696633132,0.181673049914738,74.467406401348,1,1,4
"CADPH-FluCAT_Ensemble",2025-03-15,0.267896051644029,83.549975136507,0.242390886850005,106.403593077866,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-03-22,0.322249669609368,68.2680327959304,0.231999037989953,60.9809512554518,1,1,4
"CADPH-FluCAT_Ensemble",2025-03-29,0.231490656884256,45.0169300757717,0.081111169258662,23.7978493463188,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-05,0.285004862229524,39.7202984071883,0.211616594770644,43.734225546773,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-12,0.324019292032214,34.0139288671104,0.235637557605451,35.5803745624442,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-19,0.480517883242425,32.2008824123147,0.419024852586665,31.7708646097697,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-26,0.376994822624394,23.5056924774966,0.250554243279572,16.2851840410627,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-03,0.435118871530597,25.1436587870411,0.829700254885623,44.5027647399758,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-05-10,0.369854736952681,19.5695362356042,0.427404169169097,20.0811952045183,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-17,0.395267306152746,25.3244076115292,0.867851486016337,45.3256180748123,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-24,0.533757534714878,32.5733355546663,1.35654500511448,59.0588960350672,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.543036870586149,21.8858991543055,0.851529433691239,23.0567856195975,1,1,4
"CEPH-Rtrend_fluH",2024-11-30,0.552807979589761,52.0447575250836,0.611951668244849,79.3557692307692,0.399038461538462,0.846153846153846,208
"CEPH-Rtrend_fluH",2024-12-07,0.679560107113935,116.38997909699,0.748352787616877,161.326923076923,0.211538461538462,0.663461538461538,208
"CEPH-Rtrend_fluH",2024-12-14,0.681137956183113,196.961609531773,0.727907221707232,247.447115384615,0.0576923076923077,0.389423076923077,208
"CEPH-Rtrend_fluH",2024-12-21,0.575174612717186,194.847397575251,0.616201653923957,241.5,0.153846153846154,0.432692307692308,208
"CEPH-Rtrend_fluH",2024-12-28,0.80209889650435,275.322048494983,0.846004813789276,335.889423076923,0.0625,0.293269230769231,208
"CEPH-Rtrend_fluH",2025-01-04,0.820435640619014,180.518806438127,0.919104181574057,247.711538461538,0.283653846153846,0.692307692307692,208
"CEPH-Rtrend_fluH",2025-01-11,0.987542390730017,207.776694373402,1.15974096568714,304.06862745098,0.259803921568627,0.67156862745098,204
"CEPH-Rtrend_fluH",2025-01-18,1.56438184435549,512.315117220801,1.55314196919853,603.490196078431,0.0588235294117647,0.25,204
"CEPH-Rtrend_fluH",2025-02-01,1.05520659762247,303.29387254902,1.18194249327263,409.088235294118,0.142156862745098,0.426470588235294,204
"CEPH-Rtrend_fluH",2025-02-08,0.650726549669031,157.152988064791,0.788460830231494,236.676470588235,0.367647058823529,0.779411764705882,204
"CEPH-Rtrend_fluH",2025-02-15,0.476287206159698,121.242419011083,0.5688930742249,181.06862745098,0.42156862745098,0.862745098039216,204
"CEPH-Rtrend_fluH",2025-02-22,0.342357147606029,74.8479264214047,0.372006361575455,108.403846153846,0.576923076923077,0.918269230769231,208
"CEPH-Rtrend_fluH",2025-03-01,0.343665834356284,68.3165551839465,0.3653540137213,96.9807692307692,0.548076923076923,0.908653846153846,208
"CEPH-Rtrend_fluH",2025-03-08,0.289158430967392,47.082491638796,0.333753536243791,74.8605769230769,0.581730769230769,0.975961538461538,208
"CEPH-Rtrend_fluH",2025-03-15,0.294171611353613,36.5461057692308,0.315600946216514,56.4759615384615,0.620192307692308,0.995192307692308,208
"CEPH-Rtrend_fluH",2025-03-22,0.302856153426632,30.2790029264214,0.263867127215456,40.75,0.735576923076923,0.980769230769231,208
"CEPH-Rtrend_fluH",2025-03-29,0.28438483499105,20.8264402173913,0.257707198957191,29.9134615384615,0.625,0.975961538461538,208
"CEPH-Rtrend_fluH",2025-04-05,0.349995759524047,17.6692767558528,0.301655142878987,24.7115384615385,0.716346153846154,0.956730769230769,208
"CEPH-Rtrend_fluH",2025-04-12,0.437951313512455,14.0641283444816,0.416238427185385,20.8990384615385,0.701923076923077,0.980769230769231,208
"CEPH-Rtrend_fluH",2025-04-19,0.610511443115109,13.3786705685619,0.790480485623526,22.8894230769231,0.596153846153846,1,208
"CEPH-Rtrend_fluH",2025-04-26,0.566829378112442,11.16752090301,0.755875598342644,18.375,0.610576923076923,0.975961538461538,208
"CEPH-Rtrend_fluH",2025-05-03,0.594112107726587,9.65045150501672,1.02343510051133,15.7836538461538,0.596153846153846,0.980769230769231,208
"CEPH-Rtrend_fluH",2025-05-10,0.599267423335287,9.7228114548495,1.10656591241461,16.0048076923077,0.625,0.966346153846154,208
"CEPH-Rtrend_fluH",2025-05-17,0.628473091817434,8.7919983277592,1.42203400244493,15.0048076923077,0.480769230769231,0.971153846153846,208
"CEPH-Rtrend_fluH",2025-05-24,0.741919052155259,9.71921822742475,1.82580579617884,16.5048076923077,0.399038461538462,0.918269230769231,208
"CEPH-Rtrend_fluH",2025-05-31,0.78771087840297,10.9298662207358,1.68293946159907,17.5096153846154,0.322115384615385,0.841346153846154,208
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-03-15,0.238985685690064,18.1748499250375,0.27339264023293,29.8879310344828,0.53448275862069,0.982758620689655,58
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-03-22,0.30716437545545,28.1778550185014,0.309310997916421,42.9148936170213,0.51063829787234,0.904255319148936,94
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-03-29,0.330333328424431,22.279515039929,0.302785905318524,32.2040816326531,0.520408163265306,0.928571428571429,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-05,0.391504543123382,19.162224682971,0.35277513512688,28.234375,0.5,0.854166666666667,96
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-12,0.422934704323646,13.1989230700976,0.381432388384431,19.5561224489796,0.489795918367347,0.877551020408163,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-19,0.528410902701286,11.6393831410825,0.586602679994233,17.8061224489796,0.438775510204082,0.887755102040816,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-04-26,0.589287838051336,11.4622830967169,0.744504251195119,18.2091836734694,0.387755102040816,0.86734693877551,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-03,0.491953047819841,7.23676421916593,0.836386264106148,11.6734693877551,0.5,0.918367346938776,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-10,0.586751083018164,7.08298535936114,1.06458499284295,11.1836734693878,0.459183673469388,0.897959183673469,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-17,0.560009145616276,6.67841299911269,1.1288345402936,10.3367346938776,0.469387755102041,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-24,0.639982572532,7.53635559006211,1.32155258953961,10.8571428571429,0.510204081632653,0.857142857142857,98
"CFA_Pyrenew-Pyrenew_HE_Flu",2025-05-31,0.575391520153793,6.57790068766637,1.0954683289735,9.72959183673469,0.408163265306122,0.897959183673469,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-01-11,1.9244501328508,251.458913132209,2.21875786984144,381.122448979592,0.244897959183673,0.704081632653061,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-01-18,0.975695598934544,178.703059850543,1.28160927103273,298.203125,0.354166666666667,0.947916666666667,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-02-01,0.715077132054523,210.482144476486,0.935702086747271,333.933673469388,0.23469387755102,0.836734693877551,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-02-08,0.644532559980238,144.605086888587,0.85980057618964,235.21875,0.46875,0.947916666666667,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-02-15,0.651770289203871,138.385774343297,0.778847680228565,206.03125,0.520833333333333,0.979166666666667,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-02-22,0.517687106055034,96.6999936557232,0.614329624310568,147.188775510204,0.612244897959184,0.989795918367347,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-03-01,0.53099432689604,96.5281598288622,0.598498234464177,145.521276595745,0.595744680851064,0.978723404255319,94
"CFA_Pyrenew-Pyrenew_H_Flu",2025-03-08,0.417621535872221,57.4374252264493,0.468031489712143,86.6197916666667,0.729166666666667,0.989583333333333,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-03-15,0.439918289879998,50.1192623641304,0.440900123110744,72.5677083333333,0.541666666666667,0.96875,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-03-22,0.391811334287704,35.2376239809783,0.32770943134372,44.8229166666667,0.78125,0.96875,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-03-29,0.443091777420721,31.3167999556344,0.403343160830969,44.8928571428571,0.612244897959184,0.928571428571429,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-05,0.39602705473227,19.221142798913,0.37161191598839,29.46875,0.604166666666667,0.947916666666667,96
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-12,0.488573234731781,14.9962532608696,0.498894056676685,24.2397959183673,0.448979591836735,0.938775510204082,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-19,0.766846041063513,16.923402595386,0.83274591952134,24.9591836734694,0.418367346938776,0.887755102040816,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-04-26,0.53317404540933,10.3461264640639,0.610669358112017,14.9438775510204,0.520408163265306,0.948979591836735,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-03,0.684432665525867,10.2086544809228,1.13256507477033,16.0102040816327,0.530612244897959,0.959183673469388,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-10,0.5327320904148,6.49672653061224,0.925730540643277,10.0510204081633,0.581632653061224,1,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-17,0.605422152473341,7.07879254658385,1.21942491698768,10.9540816326531,0.530612244897959,0.959183673469388,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-24,0.736784746468568,8.52611637089618,1.64483598105705,13.3928571428571,0.489795918367347,0.908163265306122,98
"CFA_Pyrenew-Pyrenew_H_Flu",2025-05-31,1.26353177011707,15.4450421916593,2.47671273524249,23.4540816326531,0.510204081632653,0.918367346938776,98
