"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.555548419558307,312.657614490834,0.664368287189512,486.237008663987,0.644230769230769,0.971153846153846,104
"CEPH-Rtrend_fluH",0.692216662156498,104.237507722008,0.75287859889925,139.782432432432,0.432046332046332,0.794594594594595,5388
"CFA_Pyrenew-Pyrenew_HE_Flu",0.600043594955236,13.4016744193522,0.703885022323842,20.3701478743068,0.467652495378928,0.88539741219963,1130
"CFA_Pyrenew-Pyrenew_H_Flu",0.743900517818143,70.7452554441127,0.888142099226404,109.280847639485,0.520386266094421,0.935622317596567,1942
"CMU-TimeSeries",0.684542839997638,103.877242708207,0.782725109668015,147.386669776551,0.541346153846154,0.902692307692308,5408
"CMU-climate_baseline",1.17122900656853,157.952835189081,1.44515292166769,243.093861160351,0.4862,0.8896,5200
"CU-ensemble",0.713387097581857,112.779720695652,0.790259184587903,155.3802,0.5072,0.837,5200
"FluSight-baseline",1,151.1998159699,1,189.157692307692,0.311538461538462,0.707692307692308,5408
"FluSight-ensemble",0.670255060803404,103.80868319398,0.750768429928829,143.666153846154,0.517307692307692,0.815,5408
"FluSight-lop_norm",0.629648606042762,96.1831786789298,0.743214106930389,142.494807692308,0.592115384615385,0.935384615384615,5408
"FluSight-trained_mean",0.659017613520597,84.5311630924446,0.764879026057061,125.344331349099,0.598333333333333,0.931904761904762,4368
"FluSight-trained_med",0.662514208563684,84.4226632833731,0.753535301006318,122.853824835531,0.617857142857143,0.912857142857143,4368
"Gatech-ensemble_point",0.838711843737287,127.751843478261,0.899599210349385,167.4525,0.338076923076923,0.722692307692308,5408
"Gatech-ensemble_prob",0.936851634632985,147.222646488294,0.94611716775605,180.782115384615,0.353653846153846,0.678653846153846,5408
"Google_SAI-FluBoostQR",0.616615881598953,7.95163165113872,0.798521370765336,12.9854464285714,0.51375,0.9675,832
"ISU_NiemiLab-GPE",0.741736814797838,130.574817685978,0.810566348473964,175.943094980727,0.454074074074074,0.770864197530864,4212
"JHUAPL-DMD",1.16938335869436,195.890541384824,1.31031252143286,277.864776987031,0.496521739130435,0.847608695652174,4784
"JHUAPL-Morris",0.910128245083072,276.173242600495,1.06324060987748,406.743152204156,0.325,0.751666666666667,1248
"JHU_CSSE-CSSE_Ensemble",0.842544860338437,136.438955732729,0.97648078723421,197.178303128872,0.507667286245353,0.801812267657993,4480
"LUcompUncertLab-chimera",0.95766629137948,162.813884934376,0.979902261479862,202.474926253687,0.347590953785644,0.692723697148476,4236
"LosAlamos_NAU-CModel_Flu",0.780175250661493,133.232460311957,0.975466739936267,207.2365,0.32325,0.845,4160
"MIGHTE-Joint",0.844846077303971,138.906549621928,0.864980000811724,176.666086956522,0.368478260869565,0.669782608695652,4784
"MIGHTE-Nsemble",0.898031356923523,140.946324547101,0.91653669442683,178.45,0.36625,0.6725,4992
"MOBS-GLEAM_FLUH",0.823105539046472,130.259058879001,0.853410744085981,165.966786808511,0.192553191489362,0.564042553191489,4896
"NEU_ISI-AdaptiveEnsemble",0.684468699981741,107.391762471396,0.755421609508927,146.201263157895,0.282947368421053,0.666736842105263,4952
"NEU_ISI-FluBcast",0.815494508641031,125.80108392361,0.804804511297755,151.584383438344,0.262826282628263,0.558280828082808,4612
"NIH-Flu_ARIMA",0.672938673134387,100.43922314578,0.759775512827756,140.411184210526,0.248839009287926,0.677438080495356,5376
"OHT_JHU-nbxd",0.74553318784121,126.960622935728,0.874299434151092,184.64232173913,0.395217391304348,0.799130434782609,4784
"PSI-PROF",0.626815186006231,95.1525919924749,0.762825101071249,143.923380769231,0.536538461538462,0.896346153846154,5408
"PSI-PROF_beta",0.637854695957586,97.8035381243478,0.748131119756445,142.672396,0.5756,0.8926,5200
"SigSci-TSENS",0.895592281478368,133.894075725241,0.910513044870173,169.237936772047,0.454658901830283,0.676372712146423,5008
"Stevens-ILIForecast",1.36800590480047,237.133117701863,1.18965800174582,257.840476190476,0.0569047619047619,0.133333333333333,4368
"UGA_CEID-Walk",1.02466007349439,160.124731814087,1.1008477380991,211.7398758,0.4756,0.7278,5200
"UGA_flucast-Copycat",0.670468208823916,98.5531369183829,0.803348169671348,146.93984962406,0.383249791144528,0.825187969924812,4980
"UGA_flucast-INFLAenza",0.763756417313105,117.420420076406,0.896640111889052,169.990451388889,0.412615740740741,0.836998456790123,5392
"UGA_flucast-Scenariocast",0.790787181103927,110.869514511674,0.9532098851187,164.880330722367,0.472584856396867,0.893385552654482,4780
"UGuelph-CompositeCurve",0.648522425082179,111.007837256602,0.775961684644837,165.876533742331,0.393021472392638,0.651840490797546,2712
"UI_CompEpi-EpiGen",0.996850602662911,138.460409283629,0.950142957611209,162.114995400184,0.541398344066237,0.708371665133395,4524
"UM-DeepOutbreak",0.945547176837832,145.792623984887,0.935766993427838,180.197609696204,0.5844,0.7338,5200
"UMass-AR2",0.758406873529192,120.248339518336,0.841447070682288,164.864399275132,0.408326661329063,0.780224179343475,5196
"UMass-flusion",0.657673443997202,104.627839395001,0.740198769072923,145.005355363277,0.397991967871486,0.820481927710843,5180
"UMass-trends_ensemble",0.820063446209731,128.40734979097,0.883173937950746,170.403557692308,0.429807692307692,0.680769230769231,5408
"UNC_IDD-InfluPaint",0.738145754305869,101.252742877995,0.77076966371693,131.312686469294,0.120505344995141,0.477891156462585,4284
"UVAFluX-CESGCN",1.10368957456251,140.193537664955,0.994104227070469,160.444823552716,0.155714285714286,0.393095238095238,4368
"UVAFluX-Ensemble",0.802261514127776,122.09079506689,0.89029271050089,167.130576923077,0.543653846153846,0.766923076923077,5408
"UVAFluX-OptimWISE",0.719684083908254,14.454241943636,0.847593904161319,21.7989818932356,0.598,0.9155,2080
"VTSanghani-PRIME",0.872384347175766,128.812785556374,0.918687940083213,167.411903823413,0.577847851793457,0.758376034686638,5270
"fjordhest-ensemble",0.68779131618293,104.713220749006,0.770748779878626,145.363274478331,0.434791332263242,0.771268057784912,5188
